Designator,Mid X,Mid Y,Layer,Rotation
R1,14.22,15.24,Top,90.0
R2,16.26,15.24,Top,270.0
R5,18.29,15.24,Top,90.0
R6,20.32,15.24,Top,270.0
R7,22.35,15.24,Top,90.0
R8,24.38,15.24,Top,270.0
R9,26.42,15.24,Top,90.0
R10,28.45,15.24,Top,270.0
R11,30.48,15.24,Top,90.0
R12,32.51,15.24,Top,270.0
R13,34.54,15.24,Top,90.0
R14,36.58,15.24,Top,270.0
R15,38.61,15.24,Top,90.0
R16,40.64,15.24,Top,270.0
R17,42.67,15.24,Top,90.0
R18,44.70,15.24,Top,270.0
R19,46.74,15.24,Top,90.0
R20,48.77,15.24,Top,270.0
R21,58.93,15.24,Top,90.0
R22,60.96,15.24,Top,270.0
R23,50.80,15.24,Top,90.0
R24,52.83,15.24,Top,270.0
R25,62.99,15.24,Top,90.0
R26,65.02,15.24,Top,270.0
R27,54.86,15.24,Top,90.0
R28,56.90,15.24,Top,270.0
R29,67.06,15.24,Top,90.0
R30,69.09,15.24,Top,270.0
